Frequency: 39 GHz	 fbw: 0.462
Element 	unpolInc	unpolEmitted	IP      	polEmitted
        	[pW]    	[pW]    	[pW]    	[pW]    
----------------------------------------------------------------------
CMB     	0.000e+00	9.439e-01	0.000e+00	0.000e+00
Atm     	9.439e-01	4.894e+00	0.000e+00	0.000e+00
Window  	5.811e+00	3.344e+00	6.084e-03	2.606e-05
IRShader1	8.994e+00	1.443e-01	0.000e+00	0.000e+00
IRShader2	9.130e+00	1.361e-01	0.000e+00	0.000e+00
IRShader1	9.257e+00	1.205e-01	0.000e+00	0.000e+00
IRShader2	9.368e+00	9.755e-02	0.000e+00	0.000e+00
AluminaF	9.456e+00	3.126e-02	4.195e-02	9.014e-05
HWP     	9.363e+00	1.328e+00	0.000e+00	1.401e-02
AluminaF	1.009e+01	3.126e-02	4.475e-02	9.014e-05
IRShader1	9.954e+00	3.396e-02	0.000e+00	0.000e+00
IRShader2	9.978e+00	2.887e-02	0.000e+00	0.000e+00
AluminaF	9.997e+00	1.526e-02	4.435e-02	4.402e-05
LowPass1	9.844e+00	1.909e-01	0.000e+00	0.000e+00
LowPass1	9.511e+00	1.566e-02	0.000e+00	0.000e+00
Aperture	9.002e+00	2.055e-01	0.000e+00	0.000e+00
Lens    	6.136e+00	3.372e-03	0.000e+00	0.000e+00
Lens    	6.073e+00	2.348e-03	0.000e+00	0.000e+00
Lens    	6.010e+00	1.386e-03	0.000e+00	0.000e+00
LowPass1	5.946e+00	1.712e-03	0.000e+00	0.000e+00
LowPass2	5.626e+00	1.712e-03	0.000e+00	0.000e+00
LowPass1	5.313e+00	4.968e-10	0.000e+00	0.000e+00
Detector	5.003e+00	1.861e-01	0.000e+00	0.000e+00
