Frequency: 145 GHz	 fbw: 0.276
Element 	unpolInc	unpolEmitted	IP      	polEmitted
        	[pW]    	[pW]    	[pW]    	[pW]    
----------------------------------------------------------------------
CMB     	0.000e+00	6.542e-01	0.000e+00	0.000e+00
Atm     	6.542e-01	1.320e+01	0.000e+00	0.000e+00
Window  	1.383e+01	7.358e+00	1.319e-02	2.782e-05
IRShader1	2.082e+01	3.177e-01	0.000e+00	0.000e+00
IRShader2	2.111e+01	2.994e-01	0.000e+00	0.000e+00
IRShader1	2.139e+01	2.649e-01	0.000e+00	0.000e+00
IRShader2	2.164e+01	2.139e-01	0.000e+00	0.000e+00
AluminaF	2.183e+01	2.498e-01	1.011e-01	6.070e-05
HWP     	2.176e+01	3.632e+00	0.000e+00	1.171e-02
AluminaF	2.413e+01	2.498e-01	1.117e-01	6.070e-05
IRShader1	2.393e+01	7.268e-02	0.000e+00	0.000e+00
IRShader2	2.398e+01	6.138e-02	0.000e+00	0.000e+00
AluminaF	2.402e+01	1.180e-01	1.112e-01	2.868e-05
LowPass1	2.368e+01	3.970e-01	0.000e+00	0.000e+00
LowPass1	2.282e+01	1.651e-02	0.000e+00	0.000e+00
Aperture	2.158e+01	3.202e-02	0.000e+00	0.000e+00
Lens    	1.884e+01	5.116e-03	0.000e+00	0.000e+00
Lens    	1.835e+01	2.125e-03	0.000e+00	0.000e+00
Lens    	1.788e+01	5.071e-04	0.000e+00	0.000e+00
LowPass1	1.741e+01	8.138e-05	0.000e+00	0.000e+00
LowPass2	1.645e+01	8.138e-05	0.000e+00	0.000e+00
LowPass1	1.550e+01	3.119e-29	0.000e+00	0.000e+00
Detector	1.457e+01	5.372e-02	0.000e+00	0.000e+00
