Frequency: 145 GHz	 fbw: 0.276
Element 	unpolInc	unpolEmitted	IP      	polEmitted
        	[pW]    	[pW]    	[pW]    	[pW]    
----------------------------------------------------------------------
CMB     	0.000e+00	6.542e-01	0.000e+00	0.000e+00
Atm     	6.542e-01	1.320e+01	0.000e+00	0.000e+00
Window  	1.383e+01	3.662e+00	1.319e-02	2.782e-05
IRShader1	1.711e+01	3.177e-01	0.000e+00	0.000e+00
IRShader2	1.741e+01	2.994e-01	0.000e+00	0.000e+00
IRShader1	1.769e+01	2.649e-01	0.000e+00	0.000e+00
IRShader2	1.794e+01	2.139e-01	0.000e+00	0.000e+00
AluminaF	1.814e+01	2.498e-01	8.399e-02	6.070e-05
HWP     	1.813e+01	3.632e+00	0.000e+00	1.171e-02
AluminaF	2.071e+01	2.498e-01	9.590e-02	6.070e-05
IRShader1	2.057e+01	7.268e-02	0.000e+00	0.000e+00
IRShader2	2.062e+01	6.138e-02	0.000e+00	0.000e+00
AluminaF	2.066e+01	1.180e-01	9.567e-02	2.868e-05
LowPass1	2.037e+01	3.970e-01	0.000e+00	0.000e+00
LowPass1	1.966e+01	1.651e-02	0.000e+00	0.000e+00
Aperture	1.856e+01	2.245e-02	0.000e+00	0.000e+00
Lens    	1.325e+01	5.116e-03	0.000e+00	0.000e+00
Lens    	1.291e+01	2.125e-03	0.000e+00	0.000e+00
Lens    	1.258e+01	5.071e-04	0.000e+00	0.000e+00
LowPass1	1.225e+01	8.138e-05	0.000e+00	0.000e+00
LowPass2	1.157e+01	8.138e-05	0.000e+00	0.000e+00
LowPass1	1.090e+01	3.119e-29	0.000e+00	0.000e+00
Detector	1.025e+01	4.029e-02	0.000e+00	0.000e+00
