Frequency: 225 GHz	 fbw: 0.267
Element 	unpolInc	unpolEmitted	IP      	polEmitted
        	[pW]    	[pW]    	[pW]    	[pW]    
----------------------------------------------------------------------
CMB     	0.000e+00	3.560e-01	0.000e+00	0.000e+00
Atm     	3.560e-01	3.482e+01	0.000e+00	0.000e+00
Window  	3.516e+01	8.813e+00	2.380e-02	7.667e-04
IRShader1	4.308e+01	4.738e-01	0.000e+00	0.000e+00
IRShader2	4.351e+01	4.463e-01	0.000e+00	0.000e+00
IRShader1	4.392e+01	3.945e-01	0.000e+00	0.000e+00
IRShader2	4.427e+01	3.179e-01	0.000e+00	0.000e+00
AluminaF	4.454e+01	5.675e-01	1.967e-01	4.048e-04
HWP     	4.429e+01	2.976e+00	0.000e+00	5.116e-02
AluminaF	4.551e+01	5.675e-01	2.010e-01	4.048e-04
IRShader1	4.516e+01	1.060e-01	0.000e+00	0.000e+00
IRShader2	4.522e+01	8.912e-02	0.000e+00	0.000e+00
AluminaF	4.527e+01	2.613e-01	1.999e-01	1.864e-04
LowPass1	4.459e+01	5.665e-01	0.000e+00	0.000e+00
LowPass1	4.280e+01	1.312e-02	0.000e+00	0.000e+00
Aperture	4.046e+01	5.938e-03	0.000e+00	0.000e+00
Lens    	3.767e+01	2.694e-03	0.000e+00	0.000e+00
Lens    	3.626e+01	7.184e-04	0.000e+00	0.000e+00
Lens    	3.490e+01	8.154e-05	0.000e+00	0.000e+00
LowPass1	3.359e+01	4.778e-06	0.000e+00	0.000e+00
LowPass2	3.172e+01	4.778e-06	0.000e+00	0.000e+00
LowPass1	2.989e+01	1.263e-43	0.000e+00	0.000e+00
Detector	2.810e+01	1.357e-02	0.000e+00	0.000e+00
