Frequency: 145 GHz	 fbw: 0.276
Element 	unpolInc	unpolEmitted	IP      	polEmitted
        	[pW]    	[pW]    	[pW]    	[pW]    
----------------------------------------------------------------------
CMB     	0.000e+00	6.542e-01	0.000e+00	0.000e+00
Atm     	6.542e-01	1.320e+01	0.000e+00	0.000e+00
HWP     	1.383e+01	1.389e+01	0.000e+00	4.487e-02
Window  	2.691e+01	7.744e+00	0.000e+00	0.000e+00
IRShader1	3.378e+01	3.255e-01	0.000e+00	0.000e+00
IRShader2	3.407e+01	3.199e-01	0.000e+00	0.000e+00
IRShader3	3.436e+01	3.166e-01	0.000e+00	0.000e+00
IRShader4	3.464e+01	3.012e-01	0.000e+00	0.000e+00
IRShader1	3.491e+01	8.020e-02	0.000e+00	0.000e+00
IRShader2	3.495e+01	7.357e-02	0.000e+00	0.000e+00
IRShader3	3.499e+01	6.805e-02	0.000e+00	0.000e+00
IRShader4	3.502e+01	6.364e-02	0.000e+00	0.000e+00
AluminaF	3.505e+01	1.244e-01	0.000e+00	0.000e+00
AluminaF	3.445e+01	1.179e-01	0.000e+00	0.000e+00
AluminaF	3.385e+01	7.394e-03	0.000e+00	0.000e+00
LowPass1	3.313e+01	1.643e-02	0.000e+00	0.000e+00
Aperture	3.121e+01	2.339e-03	0.000e+00	0.000e+00
Lens    	2.224e+01	1.637e-04	0.000e+00	0.000e+00
Lens    	2.165e+01	1.637e-04	0.000e+00	0.000e+00
LowPass1	2.107e+01	3.119e-29	0.000e+00	0.000e+00
Detector	1.981e+01	2.343e-02	0.000e+00	0.000e+00
