
theta	A2	A4	a2	a4

0	0.24719	0.00000	0.60336	0.00000

1	0.24725	0.00048	0.60347	0.00138

2	0.24741	0.00197	0.60378	0.00561

3	0.24768	0.00446	0.60428	0.01270

4	0.24802	0.00789	0.60489	0.02250

5	0.24858	0.01237	0.60607	0.03519

6	0.24924	0.01795	0.60745	0.05108

7	0.24996	0.02450	0.60890	0.06977

8	0.25062	0.03245	0.61017	0.09240

9	0.25146	0.04091	0.61190	0.11648

10	0.25244	0.05113	0.61400	0.14562

11	0.25307	0.06234	0.61502	0.17750

12	0.25363	0.07544	0.61577	0.21496

13	0.25629	0.08889	0.62209	0.25376

14	0.25828	0.10546	0.62659	0.30070

15	0.25838	0.11873	0.62659	0.33922

16	0.26277	0.13868	0.63711	0.39562

17	0.26468	0.16032	0.64156	0.45729

18	0.26735	0.18103	0.64795	0.51624

19	0.26992	0.20420	0.65409	0.58235

20	0.27354	0.22838	0.66311	0.65226
