theta	A2	A4	a2	a4
#deg	Kcmb	Kcmb	%	%
0	0.27385	0.00000	0.30168	0.00000
1	0.27392	0.00062	0.30173	0.00069
2	0.27412	0.00253	0.30189	0.00280
3	0.27444	0.00573	0.30214	0.00635
4	0.27486	0.01018	0.30245	0.01125
5	0.27554	0.01594	0.30304	0.01759
6	0.27632	0.02312	0.30372	0.02554
7	0.27718	0.03158	0.30445	0.03489
8	0.27804	0.04178	0.30508	0.04620
9	0.27908	0.05278	0.30595	0.05824
10	0.28024	0.06600	0.30700	0.07281
11	0.28107	0.08052	0.30751	0.08875
12	0.28183	0.09723	0.30788	0.10748
13	0.28498	0.11475	0.31104	0.12688
14	0.28755	0.13577	0.31330	0.15035
15	0.28786	0.15351	0.31330	0.16961
16	0.29319	0.17940	0.31855	0.19781
17	0.29563	0.20701	0.32078	0.22865
18	0.29897	0.23427	0.32397	0.25812
19	0.30228	0.26452	0.32704	0.29117
20	0.30673	0.29614	0.33156	0.32613
