##nu(Hz)   #T   #rho   #c   #s
5.000000e+10 8.436290e-01 6.536491e-02 8.436265e-02 5.755481e-01
5.050000e+10 8.090554e-01 1.313488e-01 2.732896e-02 4.865915e-01
5.100000e+10 7.278648e-01 1.078813e-01 -2.556274e-02 3.720017e-01
5.150000e+10 6.678122e-01 4.887717e-02 -5.010492e-02 3.022786e-01
5.200000e+10 6.719320e-01 -1.152107e-02 -5.446544e-02 2.940630e-01
5.250000e+10 7.413157e-01 -6.458968e-02 -4.336122e-02 3.437388e-01
5.300000e+10 8.427691e-01 -8.794759e-02 -1.579839e-02 4.350027e-01
5.350000e+10 9.143329e-01 -4.777106e-02 1.441144e-02 5.099697e-01
5.400000e+10 9.217121e-01 2.943350e-02 1.968440e-02 5.027189e-01
5.450000e+10 8.675947e-01 6.819800e-02 1.306019e-03 4.203413e-01
5.500000e+10 7.920640e-01 5.223874e-02 -1.588932e-02 3.325187e-01
5.550000e+10 7.514806e-01 1.401543e-02 -2.150535e-02 2.870058e-01
5.600000e+10 7.698968e-01 -2.496431e-02 -1.718521e-02 2.913850e-01
5.650000e+10 8.384406e-01 -5.100716e-02 -5.134431e-03 3.390961e-01
5.700000e+10 9.162966e-01 -4.208874e-02 8.621385e-03 4.035494e-01
5.750000e+10 9.479315e-01 7.584231e-03 1.045769e-02 4.276410e-01
5.800000e+10 9.083133e-01 5.252399e-02 -3.012122e-03 3.779597e-01
5.850000e+10 8.226038e-01 5.416792e-02 -1.656214e-02 2.943973e-01
5.900000e+10 7.475671e-01 2.658514e-02 -2.064109e-02 2.317187e-01
5.950000e+10 7.212234e-01 -8.122743e-03 -1.672397e-02 2.078164e-01
6.000000e+10 7.519026e-01 -4.088368e-02 -6.644443e-03 2.218295e-01
6.050000e+10 8.268105e-01 -6.209937e-02 9.600382e-03 2.694263e-01
6.100000e+10 9.070673e-01 -5.181523e-02 2.843520e-02 3.300966e-01
6.150000e+10 9.429593e-01 -3.100803e-03 3.910065e-02 3.569789e-01
6.200000e+10 9.161292e-01 4.758886e-02 3.607791e-02 3.217598e-01
6.250000e+10 8.501416e-01 6.456141e-02 2.770303e-02 2.540142e-01
6.300000e+10 7.904635e-01 5.330464e-02 2.283226e-02 1.968274e-01
6.350000e+10 7.702386e-01 3.183518e-02 2.366876e-02 1.663594e-01
6.400000e+10 7.992054e-01 9.638150e-03 2.986535e-02 1.617262e-01
6.450000e+10 8.676969e-01 -7.668108e-03 4.079076e-02 1.778260e-01
