# #nu(Hz) #T #rho #c #s
0.000000e+00 1.208333e+00 2.083326e-01 1.190237e+00 0.000000e+00
1.000000e+09 1.629848e-31 1.588132e-31 3.663890e-32 -9.223823e-48
2.000000e+09 9.512362e-32 9.329171e-32 1.857844e-32 -3.096936e-49
3.000000e+09 3.287196e-31 3.261722e-31 4.084444e-32 -7.709479e-48
4.000000e+09 9.684737e-31 9.458780e-31 -2.079807e-31 3.660830e-46
5.000000e+09 1.063420e-31 9.544758e-32 4.688701e-32 -1.156280e-47
6.000000e+09 1.030981e-31 1.008114e-31 2.159367e-32 1.678110e-48
7.000000e+09 1.195167e-30 1.193080e-30 7.061258e-32 1.557544e-46
8.000000e+09 2.432638e-31 2.365706e-31 -5.667137e-32 3.885053e-47
9.000000e+09 1.235136e-31 2.135492e-32 1.216535e-31 1.702262e-48
1.000000e+10 1.217424e-31 1.180877e-31 2.960592e-32 6.215927e-48
1.100000e+10 2.884247e-26 2.884247e-26 1.115646e-29 1.378250e-42
1.200000e+10 1.092122e-31 1.052638e-31 -2.910044e-32 3.169297e-47
1.300000e+10 1.207425e-31 -7.429647e-33 -1.205137e-31 2.157922e-46
1.400000e+10 1.587947e-31 1.507660e-31 4.985352e-32 8.355281e-48
1.500000e+10 1.080813e-30 1.078072e-30 -7.692181e-32 9.969318e-47
1.600000e+10 6.261917e-32 5.931750e-32 -2.006476e-32 4.862912e-48
1.700000e+10 5.630474e-32 3.769326e-32 -4.182633e-32 4.162338e-48
1.800000e+10 2.383772e-31 2.085044e-31 1.155404e-31 5.587603e-47
1.900000e+10 2.609934e-31 2.567543e-31 -4.684807e-32 3.823465e-47
2.000000e+10 4.148634e-32 3.797575e-32 -1.670207e-32 3.895569e-48
2.100000e+10 4.565221e-32 3.574536e-32 -2.839706e-32 -1.329725e-48
2.200000e+10 6.838457e-31 6.526186e-32 6.807245e-31 4.520133e-46
2.300000e+10 1.171522e-31 1.091867e-31 -4.246058e-32 2.635287e-47
2.400000e+10 3.062803e-32 2.613362e-32 -1.597216e-32 8.240342e-49
2.500000e+10 4.059746e-32 3.229866e-32 -2.459574e-32 3.571662e-49
2.600000e+10 9.338168e-31 6.522744e-31 -6.682454e-31 -2.427994e-46
2.700000e+10 7.313405e-32 5.504150e-32 -4.815623e-32 1.867857e-47
2.800000e+10 2.505050e-32 1.841143e-32 -1.698666e-32 -1.014488e-48
