# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 -2.220446e-16 1.000000e+00 0.000000e+00
1.000000e+09 9.614555e-01 -5.216693e-03 9.610049e-01 2.896595e-02
2.000000e+09 8.643080e-01 -1.632983e-02 8.629033e-01 4.646968e-02
3.000000e+09 7.455660e-01 -2.588753e-02 7.433538e-01 5.122186e-02
4.000000e+09 6.334629e-01 -3.072897e-02 6.308584e-01 4.846304e-02
5.000000e+09 5.401948e-01 -3.150031e-02 5.375477e-01 4.313561e-02
6.000000e+09 4.675964e-01 -2.983259e-02 4.651056e-01 3.785683e-02
7.000000e+09 4.133210e-01 -2.698371e-02 4.110684e-01 3.359921e-02
8.000000e+09 3.741578e-01 -2.364947e-02 3.721552e-01 3.058221e-02
9.000000e+09 3.473078e-01 -2.011951e-02 3.455282e-01 2.877863e-02
1.000000e+10 3.307261e-01 -1.643496e-02 3.291167e-01 2.813937e-02
1.100000e+10 3.231338e-01 -1.248043e-02 3.216157e-01 2.868923e-02
1.200000e+10 3.239596e-01 -8.019748e-03 3.224131e-01 3.058242e-02
1.300000e+10 3.333019e-01 -2.692814e-03 3.315354e-01 3.416449e-02
1.400000e+10 3.519400e-01 4.013318e-03 3.496281e-01 4.007305e-02
1.500000e+10 3.813866e-01 1.280309e-02 3.779554e-01 4.941170e-02
1.600000e+10 4.239289e-01 2.457863e-02 4.183427e-01 6.403885e-02
1.700000e+10 4.824913e-01 4.028862e-02 4.728711e-01 8.699197e-02
1.800000e+10 5.598851e-01 6.029818e-02 5.428895e-01 1.229086e-01
1.900000e+10 6.565658e-01 8.266215e-02 6.266291e-01 1.777123e-01
2.000000e+10 7.660083e-01 9.993298e-02 7.151922e-01 2.555041e-01
2.100000e+10 8.696461e-01 9.714601e-02 7.900643e-01 3.502078e-01
2.200000e+10 9.399034e-01 5.941514e-02 8.300784e-01 4.368730e-01
2.300000e+10 9.563964e-01 -9.360366e-03 8.268232e-01 4.805932e-01
2.400000e+10 9.184457e-01 -8.152471e-02 7.879518e-01 4.647884e-01
2.500000e+10 8.405857e-01 -1.290329e-01 7.256859e-01 4.041221e-01
2.600000e+10 7.432655e-01 -1.443056e-01 6.514368e-01 3.274898e-01
2.700000e+10 6.453723e-01 -1.365067e-01 5.760903e-01 2.568878e-01
2.800000e+10 5.589673e-01 -1.179425e-01 5.079737e-01 2.012380e-01
2.900000e+10 4.887784e-01 -9.682338e-02 4.512802e-01 1.608595e-01
3.000000e+10 4.349018e-01 -7.690224e-02 4.068877e-01 1.329213e-01
3.100000e+10 3.955390e-01 -5.923984e-02 3.739858e-01 1.143519e-01
3.200000e+10 3.686001e-01 -4.364886e-02 3.512742e-01 1.027971e-01
3.300000e+10 3.523939e-01 -2.945339e-02 3.375725e-01 9.674060e-02
3.400000e+10 3.458545e-01 -1.579558e-02 3.320598e-01 9.540503e-02
3.500000e+10 3.485944e-01 -1.714105e-03 3.343356e-01 9.866535e-02
3.600000e+10 3.609184e-01 1.387774e-02 3.443971e-01 1.070521e-01
3.700000e+10 3.838373e-01 3.223920e-02 3.625461e-01 1.218691e-01
3.800000e+10 4.190385e-01 5.479112e-02 3.891536e-01 1.454327e-01
3.900000e+10 4.686458e-01 8.286994e-02 4.241068e-01 1.813696e-01
4.000000e+10 5.343596e-01 1.168520e-01 4.656329e-01 2.346738e-01
4.100000e+10 6.152867e-01 1.540064e-01 5.083222e-01 3.105934e-01
4.200000e+10 7.042348e-01 1.849666e-01 5.414108e-01 4.106194e-01
4.300000e+10 7.854009e-01 1.920068e-01 5.514699e-01 5.252323e-01
4.400000e+10 8.406405e-01 1.567599e-01 5.334917e-01 6.304675e-01
4.500000e+10 8.633530e-01 7.691361e-02 5.007360e-01 6.990895e-01
4.600000e+10 8.610492e-01 -2.745407e-02 4.752916e-01 7.174607e-01
4.700000e+10 8.414556e-01 -1.264112e-01 4.680385e-01 6.877555e-01
4.800000e+10 8.043284e-01 -1.956076e-01 4.723813e-01 6.209169e-01
4.900000e+10 7.482670e-01 -2.251137e-01 4.742965e-01 5.331699e-01
5.000000e+10 6.787348e-01 -2.204108e-01 4.650705e-01 4.425037e-01
5.100000e+10 6.063789e-01 -1.950743e-01 4.452541e-01 3.624778e-01
5.200000e+10 5.406158e-01 -1.617001e-01 4.203350e-01 2.990602e-01
5.300000e+10 4.865004e-01 -1.278624e-01 3.957478e-01 2.524234e-01
5.400000e+10 4.454527e-01 -9.665027e-02 3.749531e-01 2.202205e-01
5.500000e+10 4.170649e-01 -6.850399e-02 3.596281e-01 1.997948e-01
5.600000e+10 4.004454e-01 -4.261299e-02 3.503866e-01 1.891293e-01
5.700000e+10 3.949260e-01 -1.764200e-02 3.473364e-01 1.871169e-01
5.800000e+10 4.003658e-01 7.979392e-03 3.503514e-01 1.936053e-01
5.900000e+10 4.172422e-01 3.595814e-02 3.590821e-01 2.094232e-01
6.000000e+10 4.465692e-01 6.802637e-02 3.726903e-01 2.364285e-01
6.100000e+10 4.895085e-01 1.055665e-01 3.892226e-01 2.774527e-01
6.200000e+10 5.463170e-01 1.485756e-01 4.045563e-01 3.357405e-01
6.300000e+10 6.142067e-01 1.935322e-01 4.112852e-01 4.130854e-01
6.400000e+10 6.845701e-01 2.306418e-01 3.992467e-01 5.060065e-01
6.500000e+10 7.428924e-01 2.438334e-01 3.607106e-01 6.019321e-01
6.600000e+10 7.761852e-01 2.184649e-01 2.995068e-01 6.819327e-01
6.700000e+10 7.839054e-01 1.529259e-01 2.337034e-01 7.324643e-01
6.800000e+10 7.781065e-01 6.021378e-02 1.848629e-01 7.534254e-01
6.900000e+10 7.715816e-01 -4.156782e-02 1.657976e-01 7.524105e-01
7.000000e+10 7.682366e-01 -1.363119e-01 1.778301e-01 7.348354e-01
7.100000e+10 7.624928e-01 -2.106743e-01 2.134363e-01 7.010396e-01
7.200000e+10 7.451602e-01 -2.548066e-01 2.594869e-01 6.503875e-01
7.300000e+10 7.112637e-01 -2.657907e-01 3.020425e-01 5.865336e-01
7.400000e+10 6.639550e-01 -2.492838e-01 3.321243e-01 5.180611e-01
7.500000e+10 6.117011e-01 -2.158218e-01 3.481168e-01 4.543279e-01
7.600000e+10 5.629110e-01 -1.751933e-01 3.534415e-01 4.015660e-01
7.700000e+10 5.230271e-01 -1.335018e-01 3.528714e-01 3.622379e-01
7.800000e+10 4.945928e-01 -9.325876e-02 3.503194e-01 3.364538e-01
7.900000e+10 4.784635e-01 -5.461607e-02 3.482415e-01 3.235310e-01
8.000000e+10 4.748809e-01 -1.647383e-02 3.477551e-01 3.229658e-01
8.100000e+10 4.840668e-01 2.280546e-02 3.488057e-01 3.348659e-01
8.200000e+10 5.063398e-01 6.488182e-02 3.500979e-01 3.600025e-01
8.300000e+10 5.417199e-01 1.107866e-01 3.487396e-01 3.994589e-01
8.400000e+10 5.888578e-01 1.597713e-01 3.397908e-01 4.536175e-01
8.500000e+10 6.432753e-01 2.075352e-01 3.164394e-01 5.201906e-01
8.600000e+10 6.959148e-01 2.447888e-01 2.722267e-01 5.918348e-01
8.700000e+10 7.347511e-01 2.588947e-01 2.060676e-01 6.560250e-01
8.800000e+10 7.513245e-01 2.404702e-01 1.266909e-01 7.004370e-01
8.900000e+10 7.473514e-01 1.901650e-01 5.008671e-02 7.210151e-01
9.000000e+10 7.334118e-01 1.177208e-01 -9.223360e-03 7.238437e-01
9.100000e+10 7.211971e-01 3.495810e-02 -4.388190e-02 7.190115e-01
9.200000e+10 7.175101e-01 -4.897742e-02 -5.267517e-02 7.138959e-01
9.300000e+10 7.228332e-01 -1.274294e-01 -3.734945e-02 7.105312e-01
9.400000e+10 7.323909e-01 -1.941077e-01 -1.248719e-03 7.061990e-01
9.500000e+10 7.384161e-01 -2.422420e-01 5.010405e-02 6.957490e-01
9.600000e+10 7.336996e-01 -2.662981e-01 1.085428e-01 6.749955e-01
9.700000e+10 7.153792e-01 -2.649248e-01 1.648418e-01 6.437464e-01
9.800000e+10 6.863229e-01 -2.420229e-01 2.118543e-01 6.062852e-01
9.900000e+10 6.530508e-01 -2.045804e-01 2.465568e-01 5.690624e-01
1.000000e+11 6.223960e-01 -1.593329e-01 2.695377e-01 5.379026e-01
1.010000e+11 5.994617e-01 -1.107648e-01 2.830416e-01 5.166943e-01
1.020000e+11 5.873128e-01 -6.090772e-02 2.891969e-01 5.075349e-01
1.030000e+11 5.874744e-01 -1.010063e-02 2.890097e-01 5.113683e-01
1.040000e+11 6.003629e-01 4.199075e-02 2.819288e-01 5.283830e-01
1.050000e+11 6.252194e-01 9.527465e-02 2.657417e-01 5.578560e-01
1.060000e+11 6.594622e-01 1.479937e-01 2.368985e-01 5.973837e-01
1.070000e+11 6.977944e-01 1.955399e-01 1.917423e-01 6.418069e-01
1.080000e+11 7.321481e-01 2.302746e-01 1.290344e-01 6.829090e-01
1.090000e+11 7.539644e-01 2.437731e-01 5.282968e-02 7.115097e-01
1.100000e+11 7.586048e-01 2.312494e-01 -2.715007e-02 7.219888e-01
1.110000e+11 7.483565e-01 1.946208e-01 -9.940464e-02 7.157366e-01
1.120000e+11 7.308109e-01 1.410116e-01 -1.558061e-01 6.999463e-01
1.130000e+11 7.143878e-01 7.851495e-02 -1.934964e-01 6.831870e-01
1.140000e+11 7.049955e-01 1.326962e-02 -2.132039e-01 6.718531e-01
1.150000e+11 7.051028e-01 -5.081999e-02 -2.167270e-01 6.690416e-01
1.160000e+11 7.141072e-01 -1.108861e-01 -2.054991e-01 6.748507e-01
1.170000e+11 7.289501e-01 -1.637918e-01 -1.805037e-01 6.869927e-01
1.180000e+11 7.448642e-01 -2.055381e-01 -1.431071e-01 7.014964e-01
1.190000e+11 7.566385e-01 -2.317946e-01 -9.613130e-02 7.138150e-01
1.200000e+11 7.604562e-01 -2.393988e-01 -4.431274e-02 7.204292e-01
1.210000e+11 7.555075e-01 -2.278438e-01 6.442638e-03 7.203036e-01
1.220000e+11 7.442607e-01 -1.995418e-01 5.063363e-02 7.152226e-01
1.230000e+11 7.312111e-01 -1.586493e-01 8.441675e-02 7.087834e-01
1.240000e+11 7.210785e-01 -1.094508e-01 1.057659e-01 7.048321e-01
1.250000e+11 7.174736e-01 -5.538607e-02 1.137665e-01 7.062279e-01
1.260000e+11 7.222609e-01 9.559789e-04 1.077670e-01 7.141752e-01
1.270000e+11 7.352974e-01 5.715420e-02 8.696497e-02 7.278962e-01
1.280000e+11 7.542690e-01 1.100476e-01 5.071235e-02 7.444726e-01
1.290000e+11 7.747657e-01 1.551550e-01 -4.491832e-04 7.590709e-01
1.300000e+11 7.911224e-01 1.870656e-01 -6.347397e-02 7.660627e-01
1.310000e+11 7.983506e-01 2.011069e-01 -1.322951e-01 7.611949e-01
1.320000e+11 7.944204e-01 1.954950e-01 -1.991218e-01 7.437983e-01
1.330000e+11 7.812378e-01 1.722687e-01 -2.571130e-01 7.173207e-01
1.340000e+11 7.635010e-01 1.361672e-01 -3.024984e-01 6.876678e-01
1.350000e+11 7.464814e-01 9.249413e-02 -3.347729e-01 6.607620e-01
1.360000e+11 7.343156e-01 4.556106e-02 -3.554212e-01 6.409519e-01
1.370000e+11 7.293764e-01 -1.704540e-03 -3.664355e-01 6.306441e-01
1.380000e+11 7.323587e-01 -4.735165e-02 -3.693812e-01 6.306065e-01
1.390000e+11 7.425727e-01 -8.974776e-02 -3.651001e-01 6.403604e-01
1.400000e+11 7.582192e-01 -1.270296e-01 -3.538821e-01 6.584279e-01
1.410000e+11 7.766892e-01 -1.568594e-01 -3.359369e-01 6.824864e-01
1.420000e+11 7.950350e-01 -1.765982e-01 -3.120029e-01 7.096111e-01
1.430000e+11 8.106726e-01 -1.838837e-01 -2.838616e-01 7.367493e-01
1.440000e+11 8.221336e-01 -1.773774e-01 -2.544845e-01 7.613663e-01
1.450000e+11 8.294899e-01 -1.572875e-01 -2.276775e-01 7.819700e-01
1.460000e+11 8.341629e-01 -1.253808e-01 -2.073792e-01 7.981862e-01
1.470000e+11 8.381811e-01 -8.456288e-02 -1.969528e-01 8.103125e-01
1.480000e+11 8.432430e-01 -3.837169e-02 -1.987090e-01 8.185970e-01
1.490000e+11 8.499636e-01 9.329594e-03 -2.136345e-01 8.226246e-01
1.500000e+11 8.575372e-01 5.446456e-02 -2.411838e-01 8.211176e-01
1.510000e+11 8.639312e-01 9.291012e-02 -2.791123e-01 8.123061e-01
1.520000e+11 8.666238e-01 1.209766e-01 -3.235682e-01 7.947987e-01
1.530000e+11 8.636790e-01 1.361825e-01 -3.697231e-01 7.685705e-01
1.540000e+11 8.546661e-01 1.379245e-01 -4.129169e-01 7.354799e-01
1.550000e+11 8.409065e-01 1.275551e-01 -4.498207e-01 6.989383e-01
1.560000e+11 8.249536e-01 1.077694e-01 -4.790063e-01 6.629383e-01
1.570000e+11 8.097058e-01 8.168828e-02 -5.007315e-01 6.310456e-01
1.580000e+11 7.976551e-01 5.213078e-02 -5.162524e-01 6.058213e-01
1.590000e+11 7.905064e-01 2.130188e-02 -5.271090e-01 5.887297e-01
1.600000e+11 7.891127e-01 -9.169110e-03 -5.346409e-01 5.803222e-01
1.610000e+11 7.935674e-01 -3.801371e-02 -5.397734e-01 5.804730e-01
1.620000e+11 8.033377e-01 -6.408415e-02 -5.430091e-01 5.885455e-01
1.630000e+11 8.173963e-01 -8.618186e-02 -5.445503e-01 6.034685e-01
1.640000e+11 8.343673e-01 -1.030071e-01 -5.445006e-01 6.237608e-01
1.650000e+11 8.527135e-01 -1.132521e-01 -5.430971e-01 6.475645e-01
1.660000e+11 8.709662e-01 -1.158243e-01 -5.409128e-01 6.727408e-01
1.670000e+11 8.879522e-01 -1.101345e-01 -5.389517e-01 6.970369e-01
1.680000e+11 9.029327e-01 -9.635224e-02 -5.385752e-01 7.182900e-01
1.690000e+11 9.155848e-01 -7.553140e-02 -5.412503e-01 7.346010e-01
1.700000e+11 9.258269e-01 -4.956199e-02 -5.481857e-01 7.444404e-01
1.710000e+11 9.335792e-01 -2.096567e-02 -5.599706e-01 7.467018e-01
1.720000e+11 9.385932e-01 7.420026e-03 -5.763410e-01 7.407653e-01
1.730000e+11 9.404547e-01 3.282315e-02 -5.961659e-01 7.266113e-01
1.740000e+11 9.387703e-01 5.293475e-02 -6.176851e-01 7.049487e-01
1.750000e+11 9.334422e-01 6.624386e-02 -6.389421e-01 6.772585e-01
1.760000e+11 9.248796e-01 7.221169e-02 -6.582646e-01 6.456589e-01
1.770000e+11 9.140295e-01 7.122360e-02 -6.746185e-01 6.125904e-01
1.780000e+11 9.022176e-01 6.434716e-02 -6.877211e-01 5.804272e-01
1.790000e+11 8.908864e-01 5.300431e-02 -6.979245e-01 5.511539e-01
1.800000e+11 8.813440e-01 3.867821e-02 -7.059686e-01 5.261935e-01
1.810000e+11 8.745948e-01 2.272597e-02 -7.127225e-01 5.063855e-01
1.820000e+11 8.712674e-01 6.304702e-03 -7.189883e-01 4.920599e-01
1.830000e+11 8.716129e-01 -9.621978e-03 -7.253901e-01 4.831414e-01
1.840000e+11 8.755455e-01 -2.424073e-02 -7.323376e-01 4.792431e-01
1.850000e+11 8.826992e-01 -3.684475e-02 -7.400398e-01 4.797305e-01
1.860000e+11 8.924925e-01 -4.681282e-02 -7.485496e-01 4.837612e-01
1.870000e+11 9.041974e-01 -5.362152e-02 -7.578199e-01 4.903128e-01
1.880000e+11 9.170111e-01 -5.688918e-02 -7.677580e-01 4.982175e-01
1.890000e+11 9.301272e-01 -5.643968e-02 -7.782659e-01 5.062148e-01
1.900000e+11 9.427969e-01 -5.236544e-02 -7.892555e-01 5.130299e-01
1.910000e+11 9.543732e-01 -4.506597e-02 -8.006364e-01 5.174732e-01
1.920000e+11 9.643342e-01 -3.524212e-02 -8.122844e-01 5.185485e-01
1.930000e+11 9.722909e-01 -2.383712e-02 -8.240062e-01 5.155533e-01
1.940000e+11 9.779890e-01 -1.193016e-02 -8.355234e-01 5.081543e-01
1.950000e+11 9.813155e-01 -6.014149e-04 -8.464907e-01 4.964204e-01
1.960000e+11 9.823099e-01 9.203505e-03 -8.565478e-01 4.808055e-01
1.970000e+11 9.811741e-01 1.678169e-02 -8.653925e-01 4.620788e-01
1.980000e+11 9.782668e-01 2.173280e-02 -8.728479e-01 4.412144e-01
1.990000e+11 9.740753e-01 2.396396e-02 -8.789019e-01 4.192611e-01
2.000000e+11 9.691650e-01 2.364765e-02 -8.837076e-01 3.972184e-01
2.010000e+11 9.641160e-01 2.115127e-02 -8.875480e-01 3.759399e-01
2.020000e+11 9.594613e-01 1.695884e-02 -8.907801e-01 3.560749e-01
2.030000e+11 9.556380e-01 1.160158e-02 -8.937744e-01 3.380483e-01
2.040000e+11 9.529565e-01 5.605274e-03 -8.968643e-01 3.220699e-01
2.050000e+11 9.515905e-01 -5.443250e-04 -9.003118e-01 3.081603e-01
2.060000e+11 9.515825e-01 -6.421933e-03 -9.042910e-01 2.961856e-01
2.070000e+11 9.528616e-01 -1.167407e-02 -9.088863e-01 2.858928e-01
2.080000e+11 9.552680e-01 -1.602579e-02 -9.141019e-01 2.769438e-01
2.090000e+11 9.585816e-01 -1.928525e-02 -9.198774e-01 2.689468e-01
2.100000e+11 9.625497e-01 -2.134678e-02 -9.261054e-01 2.614864e-01
2.110000e+11 9.669131e-01 -2.219147e-02 -9.326498e-01 2.541515e-01
2.120000e+11 9.714273e-01 -2.188354e-02 -9.393610e-01 2.465623e-01
2.130000e+11 9.758781e-01 -2.056141e-02 -9.460887e-01 2.383936e-01
2.140000e+11 9.800919e-01 -1.842283e-02 -9.526906e-01 2.293935e-01
2.150000e+11 9.839396e-01 -1.570514e-02 -9.590392e-01 2.193952e-01
2.160000e+11 9.873365e-01 -1.266258e-02 -9.650261e-01 2.083210e-01
2.170000e+11 9.902385e-01 -9.543473e-03 -9.705645e-01 1.961778e-01
2.180000e+11 9.926361e-01 -6.569975e-03 -9.755908e-01 1.830460e-01
2.190000e+11 9.945467e-01 -3.922677e-03 -9.800642e-01 1.690622e-01
2.200000e+11 9.960068e-01 -1.731321e-03 -9.839651e-01 1.543995e-01
2.210000e+11 9.970637e-01 -7.189891e-05 -9.872923e-01 1.392473e-01
2.220000e+11 9.977690e-01 1.030513e-03 -9.900592e-01 1.237930e-01
2.230000e+11 9.981725e-01 1.594461e-03 -9.922887e-01 1.082074e-01
2.240000e+11 9.983181e-01 1.671936e-03 -9.940096e-01 9.263440e-02
2.250000e+11 9.982423e-01 1.336892e-03 -9.952528e-01 7.718567e-02
2.260000e+11 9.979733e-01 6.738950e-04 -9.960491e-01 6.193937e-02
2.270000e+11 9.975331e-01 -2.319679e-04 -9.964279e-01 4.694280e-02
2.280000e+11 9.969395e-01 -1.303081e-03 -9.964179e-01 3.221748e-02
2.290000e+11 9.962085e-01 -2.474671e-03 -9.960470e-01 1.776597e-02
2.300000e+11 9.953570e-01 -3.697351e-03 -9.953437e-01 3.579246e-03
2.310000e+11 9.944040e-01 -4.936911e-03 -9.943378e-01 -1.035629e-02
2.320000e+11 9.933706e-01 -6.171711e-03 -9.930602e-01 -2.405294e-02
2.330000e+11 9.922800e-01 -7.388249e-03 -9.915430e-01 -3.751760e-02
2.340000e+11 9.911558e-01 -8.575673e-03 -9.898185e-01 -5.074980e-02
