# #nu(Hz) #T #rho #c #s
0.000000e+00 1.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
1.000000e+09 4.976474e-01 -4.877178e-02 4.926399e-01 5.079580e-02
2.000000e+09 3.218773e-01 -2.633830e-02 3.194646e-01 2.921736e-02
3.000000e+09 4.561589e-01 2.273526e-02 4.498871e-01 7.187220e-02
4.000000e+09 9.417281e-01 5.015729e-02 8.130950e-01 4.724539e-01
5.000000e+09 5.725185e-01 -1.500345e-01 5.036409e-01 2.271847e-01
6.000000e+09 3.381350e-01 -4.116238e-02 3.225202e-01 9.285281e-02
7.000000e+09 4.420617e-01 7.077567e-02 4.043343e-01 1.640826e-01
8.000000e+09 8.277645e-01 1.406538e-01 4.570532e-01 6.756574e-01
9.000000e+09 6.614145e-01 -2.620105e-01 4.109435e-01 4.471522e-01
1.000000e+10 3.745529e-01 -7.469121e-02 3.236298e-01 1.731326e-01
1.100000e+10 4.484975e-01 1.024485e-01 3.609096e-01 2.457613e-01
1.200000e+10 7.269718e-01 2.050321e-01 1.598906e-01 6.788849e-01
1.300000e+10 6.877221e-01 -3.083944e-01 1.671596e-01 5.915338e-01
1.400000e+10 4.386162e-01 -1.343654e-01 3.071757e-01 2.827954e-01
1.500000e+10 4.723407e-01 1.210024e-01 3.147335e-01 3.307673e-01
1.600000e+10 6.525976e-01 2.334062e-01 -4.240264e-02 6.079532e-01
1.700000e+10 6.093938e-01 -2.474256e-01 -9.630061e-02 5.485139e-01
1.800000e+10 5.346843e-01 -2.244768e-01 2.350111e-01 4.245790e-01
1.900000e+10 5.142268e-01 1.257190e-01 2.539182e-01 4.291264e-01
2.000000e+10 5.992316e-01 2.348197e-01 -1.794543e-01 5.212815e-01
2.100000e+10 5.001552e-01 -1.530882e-01 -2.448474e-01 4.083736e-01
2.200000e+10 6.344903e-01 -3.166663e-01 5.323280e-02 5.472354e-01
2.300000e+10 5.785509e-01 1.117977e-01 1.558648e-01 5.458283e-01
2.400000e+10 5.621516e-01 2.173304e-01 -2.805641e-01 4.359653e-01
2.500000e+10 4.169419e-01 -8.254511e-02 -3.003162e-01 2.771949e-01
2.600000e+10 6.559472e-01 -3.287289e-01 -2.040811e-01 5.296744e-01
2.700000e+10 6.726632e-01 7.101686e-02 -1.967383e-02 6.686145e-01
2.800000e+10 5.402180e-01 1.847763e-01 -3.656687e-01 3.521074e-01
2.900000e+10 3.651065e-01 -4.134465e-02 -3.157763e-01 1.785460e-01
3.000000e+10 5.794317e-01 -2.408953e-01 -3.784554e-01 3.667181e-01
3.100000e+10 7.974109e-01 1.043810e-03 -3.217260e-01 7.296269e-01
3.200000e+10 5.357643e-01 1.367770e-01 -4.473966e-01 2.610970e-01
3.300000e+10 3.368092e-01 -2.181217e-02 -3.195661e-01 1.041259e-01
3.400000e+10 4.865895e-01 -1.346355e-01 -4.269737e-01 1.906203e-01
3.500000e+10 9.130124e-01 -6.055098e-02 -7.098146e-01 5.710415e-01
3.600000e+10 5.547162e-01 6.866397e-02 -5.308583e-01 1.455496e-01
3.700000e+10 3.262445e-01 -1.827821e-02 -3.230074e-01 4.204248e-02
3.800000e+10 4.233297e-01 -5.565203e-02 -4.153155e-01 6.019878e-02
3.900000e+10 9.345196e-01 -3.176119e-02 -9.232377e-01 1.412453e-01
4.000000e+10 6.052925e-01 -2.708822e-02 -6.042434e-01 -2.313423e-02
4.100000e+10 3.315594e-01 -2.899889e-02 -3.297735e-01 -1.844265e-02
4.200000e+10 3.905290e-01 -4.583616e-03 -3.890871e-01 -3.321262e-02
4.300000e+10 8.644872e-01 8.136931e-02 -8.136547e-01 -2.805050e-01
4.400000e+10 6.853607e-01 -1.480680e-01 -6.119945e-01 -2.706620e-01
4.500000e+10 3.547552e-01 -5.605890e-02 -3.389873e-01 -8.829656e-02
4.600000e+10 3.804476e-01 2.657852e-02 -3.637099e-01 -1.083931e-01
4.700000e+10 7.846802e-01 1.934618e-01 -5.650117e-01 -5.089767e-01
4.800000e+10 7.451114e-01 -2.444663e-01 -4.515963e-01 -5.398963e-01
4.900000e+10 4.017768e-01 -1.054627e-01 -3.430167e-01 -1.806703e-01
5.000000e+10 3.881830e-01 4.303213e-02 -3.411360e-01 -1.801679e-01
5.100000e+10 7.284186e-01 2.680882e-01 -3.272630e-01 -5.929766e-01
5.200000e+10 7.049697e-01 -2.368801e-01 -1.419976e-01 -6.486191e-01
5.300000e+10 4.802288e-01 -1.848514e-01 -3.183397e-01 -3.083982e-01
5.400000e+10 4.127766e-01 4.604829e-02 -3.169637e-01 -2.603807e-01
5.500000e+10 6.920577e-01 3.069650e-01 -1.318561e-01 -6.060778e-01
5.600000e+10 5.927042e-01 -1.533444e-01 1.152975e-01 -5.607943e-01
5.700000e+10 5.826496e-01 -2.867779e-01 -2.140563e-01 -4.598031e-01
5.800000e+10 4.571210e-01 3.304705e-02 -2.799951e-01 -3.598197e-01
5.900000e+10 6.677669e-01 3.176493e-01 3.036818e-02 -5.865912e-01
6.000000e+10 4.887243e-01 -7.457585e-02 2.448996e-01 -4.163100e-01
6.100000e+10 6.480935e-01 -3.502887e-01 5.033899e-03 -5.452501e-01
6.200000e+10 5.279663e-01 -2.438099e-03 -2.060009e-01 -4.861132e-01
6.300000e+10 6.519251e-01 3.052143e-01 1.741982e-01 -5.490952e-01
6.400000e+10 4.177868e-01 -2.564628e-02 2.968484e-01 -2.928637e-01
6.500000e+10 6.068590e-01 -3.056528e-01 2.351873e-01 -4.685522e-01
6.600000e+10 6.323292e-01 -6.721578e-02 -4.811062e-02 -6.269032e-01
6.700000e+10 6.455020e-01 2.715019e-01 3.130878e-01 -4.949097e-01
6.800000e+10 3.746752e-01 -1.640844e-03 3.173344e-01 -1.991926e-01
6.900000e+10 5.079633e-01 -2.018351e-01 3.507973e-01 -3.069699e-01
7.000000e+10 7.561370e-01 -1.471500e-01 2.446320e-01 -7.001752e-01
7.100000e+10 6.537002e-01 2.148407e-01 4.579866e-01 -4.140237e-01
